Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,CHN,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,,,,,,,,,,,,,,,,,,,,,,3456000,4880000,4645000,3716000,20463000,90547000,212812000,288799000,346829000,366828000,356254000,337131000,286309000,363116000,593819000,506427000,568100000,397000000,483000000,521000000,690000000,412863000,469760000,322864000,369152000,401122000,672405000,418034000,480317000,316992000,309570000,59040000,151432000,349372000,176246000
China,CHN,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,109922000,72197000,45480000,39859000,50149000,66668000,136564000,456551000,1062033000,958573000,1070712000,776062000,738124000,1034405000,1333202000,1350585000,1440675000,983264000,273939000,221942000,201952000,219773000,117960000,294263000,71211000,79820000,181780000,33472000,41657000,31633000,29680000,74533000,61227000,15355000,63736000
China,CHN,"PNG, bonds (INT, current US$)",DT.INT.PNGB.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,11719000,26213000,33247000,53231000,55370000,41592000,95662000,93420000,110559000,118816000,123424000,122350000,247758000,343018000,444645000,431401000,444979000,672416000,1942339000,1116518000,2292036000,3829798000,
China,CHN,"PNG, commercial banks and other creditors (INT, current US$)",DT.INT.PNGC.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,921450000,2099338000,1830580000,1805441000,1036184000,1197576000,832000000,769242000,1170982000,1782355000,1789000000,570000000,2992609000,3154963000,1056863000,754683000,2403135000,
China,CHN,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,,,,,,,,,,,,,,,,,,,,,,349461000,382635000,368163000,435819000,343785000,225369000,373321000,432320000,645628000,677194000,891607000,917269000,767183000,1289583000,1408475000,1464010000,1703858000,1418645000,1052096000,1010834000,865563000,775418000,1110547000,567985000,324444000,295189000,576643000,653999000,417972000,358304000,382705000,173098000,10355000,71772000,255466000
China,CHN,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,462839000,459712000,418288000,479394000,414397000,382584000,722697000,1177670000,2054490000,2002595000,2318573000,2030462000,1791616000,2687104000,3335496000,3321022000,3712633000,2798909000,1809035000,1753776000,1757515000,1408054000,1698267000,1185112000,764807000,776131000,1430828000,1105505000,939946000,706929000,721955000,306671000,223014000,436499000,495448000
China,CHN,"Interest arrears, long-term DOD (US$)",DT.IXA.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162000,
China,CHN,Net change in interest arrears (current US$),DT.IXA.DPPG.CD.CG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162000,
China,CHN,"Interest arrears, official creditors (current US$)",DT.IXA.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76000,
China,CHN,"Interest arrears, private creditors (current US$)",DT.IXA.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000,
China,CHN,Interest forgiven (current US$),DT.IXF.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,Interest rescheduled (capitalized) (current US$),DT.IXR.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,"Interest rescheduled, official (current US$)",DT.IXR.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,"Interest rescheduled, private (current US$)",DT.IXR.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,Average maturity on new external debt commitments (years),DT.MAT.DPPG,,,,,,,,,,,,,,,,,,,,,,13.2449,18.7195,16.7313,18.0283,11.7564,14.7964,15.3686,14.9017,18.0059,16.6488,18.4244,14.8775,13.9566,15.6441,11.7963,10.1038,10.0564,18.1372,17.1337,17.9018,16.2749,19.4024,15.6622,15.4084,14.0121,21.4116,16.5187,20.8792,22.337,18.922,19.3861,15.1065,22.3469,9.1112,
China,CHN,"Average maturity on new external debt commitments, official (years)",DT.MAT.OFFT,,,,,,,,,,,,,,,,,,,,,,21.8373,27.9756,25.9009,28.2137,26.5862,26.5667,29.4449,24.1318,24.8977,27.866,23.6651,22.2014,19.7104,21.0554,18.3033,21.1525,19.0698,21.6051,23.2348,21.1092,21.4045,20.9696,21.8874,22.278,22.54,24.336,23.2155,24.3003,26.6374,25.7412,25.9189,15.6302,25.3529,25.4715,
China,CHN,"Average maturity on new external debt commitments, private (years)",DT.MAT.PRVT,,,,,,,,,,,,,,,,,,,,,,7.8672,7.2948,7.3124,8.9567,6.9532,11.0972,12.1695,12.0399,13.1977,13.3163,12.8145,12.244,11.4194,11.6018,7.3216,7.0281,6.446,15.6449,14.6423,16.9558,14.6519,18.4418,9.432,9.1613,10.4731,14.4166,9.5566,13.6413,14.4166,13.0692,8.278,14.6041,21.3929,5.6726,
China,CHN,"Net financial flows, bilateral (NFL, current US$)",DT.NFL.BLAT.CD,,,,,,,,,,,,,,,,,,,,,,506324000,656430000,544817000,623068000,517937000,547132000,7750000,272475000,1170569000,788951000,729565000,1035299000,2634458000,917134000,5484321000,2017858000,1930018000,32369000,1687445000,-382923000,763865000,-711076000,-951008000,-172034000,-58349000,83139000,-573751000,-266198000,-339899000,-123262000,-1002747000,-1034067000,-2538554000,-184944000,
China,CHN,"PPG, bilateral concessional (NFL, current US$)",DT.NFL.BLTC.CD,,,,,,,,,,,,,,,,,,,,,,44452000,406646000,354970000,444972000,424792000,379748000,222032000,585769000,1503144000,876924000,119261000,81093000,719689000,894785000,1217629000,1000858000,-137258000,62666000,998675000,-475319000,628134000,-650233000,-821041000,-75950000,-27707000,222386000,-200100000,-184577000,-267156000,-52279000,-931558000,-1634584000,-2079996000,259994000,
China,CHN,"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",DT.NFL.BOND.CD,,,,,,,,,,,,,,,,,,,,,,-16700000,23580000,4457000,84300000,971419000,1332989000,1064287000,770677000,416614000,-47834000,23871000,-3193000,2237923000,2876337000,316678000,1190004000,3329738000,1587000000,-1254000000,261367000,1035647000,-1054483000,1164320000,2446291000,3910145000,1705472000,2196374000,-1092486000,-38801000,11591721000,12055612000,10585256000,29575896000,27496738000,
China,CHN,"Net flows on external debt, total (NFL, current US$)",DT.NFL.DECT.CD,,,,,,,,,,,,,,,,,,,,,,1492263000,2836803000,2189410000,2692411000,4799131000,5177275000,8152245000,7282226000,4099381000,8266655000,5548013000,14277104000,14362981000,11994671000,17757561000,13935775000,18506223000,-14185079000,-1752066000,-2456752000,40760833000,3724347000,17488820000,34326134000,39788860000,33513729000,46823444000,-2280209000,43520636000,1.22201E+11,1.4006E+11,34537538000,1.34915E+11,85188019000,
China,CHN,"Net flows on external debt, long-term (NFL, current US$)",DT.NFL.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,596140000,536803000,986516000,1076411000,3980131000,4855373000,6088331000,6780441000,6077739000,6346448000,4536382000,11292104000,12831981000,9807671000,12915111000,10854145000,12449303000,-61079000,407934000,-356752000,-2459167000,-5655653000,-4924180000,6649134000,7291860000,8403729000,16502444000,14229791000,-9800364000,15186090000,10672953000,1856538000,23403613000,22928019000,
China,CHN,"Net flows on external debt, private nonguaranteed (PNG) (NFL, current US$)",DT.NFL.DPNG.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,197575000,332000000,0,543889000,128786000,1311070000,-2558090000,-1065000000,-2045000000,-1894000000,-388000000,1026353000,6192217000,5175000000,8646000000,14714000000,15530000000,-9808779000,13460672000,15086736000,6358758000,13214980000,16769917000,
China,CHN,"Net flows on external debt, public and publicly guaranteed (PPG) (NFL, current US$)",DT.NFL.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,596140000,536803000,986516000,1076411000,3980131000,4855373000,6088331000,6780441000,6077739000,6346448000,4536382000,11094529000,12499981000,9807671000,12371222000,10725359000,11138233000,2497011000,1472934000,1688248000,-565167000,-5267653000,-5950533000,456917000,2116860000,-242271000,1788444000,-1300209000,8415000,1725418000,-4413783000,-4502220000,10188633000,6158102000,
China,CHN,"Net flows on external debt, short-term (NFL, current US$)",DT.NFL.DSTC.CD,,,,,,,,,,,,,,,,,,,,,,0,2300000000,1684000000,1616000000,819000000,-343000000,2145000000,585000000,-1899000000,2410000000,1463000000,2985000000,1531000000,2187000000,4842450000,3081630000,6056920000,-14124000000,-2160000000,-2100000000,43220000000,9380000000,22413000000,27677000000,32497000000,25110000000,30321000000,-16510000000,53321000000,1.07015E+11,1.29387E+11,32681000000,1.11511E+11,62260000000,
China,CHN,"Net official flows from UN agencies, IAEA (current US$)",DT.NFL.IAEA.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1020000,1150000,1270000,950000,1540000,1150000,470000,1000000,530000,
China,CHN,"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD,,,,,,,,,,,,,,,,,,,,,,400000,3450000,2980000,10330000,19710000,22960000,32980000,10710000,6730000,17490000,13700000,12480000,14210000,10810000,10320000,17940000,26470000,12670000,12690000,6550000,11230000,3830000,4360000,5500000,11750000,14670000,26790000,11390000,15720000,13710000,22920000,34750000,12160000,26210000,
China,CHN,"Net financial flows, IMF concessional (NFL, current US$)",DT.NFL.IMFC.CD,,,,,,,,,,,,,,,,,,,,,,365189000,0,0,0,0,-36328000,-81086000,-83215000,-79358000,-84045000,-42361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,"Net financial flows, IMF nonconcessional (NFL, current US$)",DT.NFL.IMFN.CD,,,,,,,,,,,,,,,,,,,,,,530934000,0,-481106000,0,0,701230000,0,0,0,-405748000,-409008000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,"Net financial flows, IBRD (NFL, current US$)",DT.NFL.MIBR.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,4013000,72927000,353551000,324312000,206076000,513926000,542203000,375589000,537876000,356702000,731895000,1065485000,1107099000,943023000,1210761000,1077974000,788340000,949726000,663126000,-576913000,-837387000,306268000,273697000,233230000,285308000,632871000,298519000,195621000,53804000,-96003000,-74989000,109746000,
China,CHN,"Net financial flows, IDA (NFL, current US$)",DT.NFL.MIDA.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,883000,67400000,123570000,211786000,282263000,399245000,557101000,507021000,506898000,611301000,776766000,865116000,670963000,798175000,790601000,687063000,553788000,406807000,313626000,223665000,94747000,-6329000,-116729000,-146708000,-208215000,-261282000,-299830000,-329765000,-348368000,-1539333000,-717525000,-756849000,-799453000,
China,CHN,"Net financial flows, multilateral (NFL, current US$)",DT.NFL.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,0,883000,77814000,207849000,598785000,618297000,618664000,1082964000,1106106000,937712000,1314047000,1307887000,1980178000,2199813000,2417958000,2382768000,2384928000,2255227000,1700182000,1903096000,1392657000,-494949000,-2205363000,226014000,814967000,820259000,1028209000,1350375000,1055563000,828685000,-450069000,-49345000,-398843000,-46996000,
China,CHN,"PPG, multilateral concessional (NFL, current US$)",DT.NFL.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,0,883000,73801000,134922000,228550000,295585000,414558000,567848000,513565000,510986000,610307000,782416000,884991000,673699000,803877000,789316000,680797000,562537000,426727000,107656000,187978000,88577000,-7648000,-152506000,-146708000,-208215000,-261282000,-299830000,-329765000,-348368000,-1539333000,-717525000,-756849000,-799453000,
China,CHN,"Net financial flows, others (NFL, current US$)",DT.NFL.MOTH.CD,,,,,,,,,,,,,,,,,,,,,,0,0,6401000,11352000,33448000,11722000,13343000,9229000,4846000,2316000,-2750000,8135000,30178000,-956000,1636000,-4141000,-8478000,1489000,38424000,194596000,-137825000,-14934000,-13758000,-201471000,-283000,-5279000,20842000,15666000,17711000,-51824000,-187431000,-173327000,-182500000,-179299000,
China,CHN,"EBRD, private nonguaranteed (NFL, current US$)",DT.NFL.NEBR.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,"IFC, private nonguaranteed (NFL, current US$)",DT.NFL.NIFC.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42082500,-16502600,-58948500,59251800,235441306.5,237218924.9,104987617.8,65840628.67,-34191620.09,40013967.75,-21443783.51,-62351565.49,-57956187,390186602,
China,CHN,"PPG, official creditors (NFL, current US$)",DT.NFL.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,506324000,657313000,622631000,830917000,1116722000,1165429000,626414000,1355439000,2276675000,1726663000,2043612000,2343186000,4614636000,3116947000,7902279000,4400626000,4314946000,2287596000,3387627000,1520173000,2156522000,-1206025000,-3156371000,53980000,756618000,903398000,454458000,1084177000,715664000,705423000,-1452816000,-1083412000,-2937397000,-231940000,
China,CHN,"PPG, bonds (NFL, current US$)",DT.NFL.PBND.CD,,,,,,,,,,,,,,,,,,,,,,-16700000,23580000,4457000,84300000,971419000,1332989000,1064287000,770677000,416614000,-47834000,23871000,-200768000,1905923000,2876337000,-227211000,1061218000,2018668000,1325000000,-1254000000,405000000,560000000,-1064700000,1099320000,1735074000,2658000000,0,1456374000,-742486000,-500000000,0,1005633000,-318000000,5500000000,3030747000,
China,CHN,"PPG, commercial banks (NFL, current US$)",DT.NFL.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,-235779000,-223833000,100332000,175191000,623016000,1451724000,4138346000,3715352000,1149518000,2438977000,613158000,3015701000,2729298000,576970000,2332337000,782761000,730004000,-1481412000,-747995000,-1884559000,-1208476000,-624822000,-897055000,-195821000,225607000,-132219000,-460806000,-237224000,-154268000,300998000,20889000,-316173000,1748895000,3767650000,
China,CHN,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",DT.NFL.PCBO.CD,,,,,,,,,,,,,,,,,,,,,,106516000,-144090000,359428000,161194000,1891990000,2356955000,4397630000,4654325000,3384450000,4667619000,2468899000,8952111000,5979422000,3814387000,4696154000,5263515000,4804619000,-3935675000,-1725693000,-2138292000,-5651336000,-3395145000,-2932129000,4148863000,2625097000,5794859000,13851612000,14238100000,-10477227000,2888946000,70157000,-7645306000,-3234886000,-4336779000,
China,CHN,"PNG, bonds (NFL, current US$)",DT.NFL.PNGB.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,197575000,332000000,0,543889000,128786000,1311070000,262000000,0,-143633000,475647000,10217000,65000000,711217000,1252145000,1705472000,740000000,-350000000,461199000,11591721000,11049979000,10903256000,24075896000,24465991000,
China,CHN,"PNG, commercial banks and other creditors (NFL, current US$)",DT.NFL.PNGC.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2820090000,-1065000000,-1901367000,-2369647000,-398217000,961353000,5481000000,3922855000,6940528000,13974000000,15880000000,-10269978000,1868951000,4036757000,-4544498000,-10860916000,-7696074000,
China,CHN,"PPG, other private creditors (NFL, current US$)",DT.NFL.PROP.CD,,,,,,,,,,,,,,,,,,,,,,342295000,79743000,259096000,-13997000,1268974000,905231000,259284000,938973000,2234932000,2228642000,1855741000,5936410000,3250124000,3237417000,2363817000,4480754000,4074615000,365827000,87302000,1647634000,-2073213000,-2372106000,-2996427000,-1136316000,-1523365000,-1013450000,338418000,-1404676000,-52981000,718997000,-3987489000,-2784635000,5877135000,-408355000,
China,CHN,"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,89816000,-120510000,363885000,245494000,2863409000,3689944000,5461917000,5425002000,3801064000,4619785000,2492770000,8751343000,7885345000,6690724000,4468943000,6324733000,6823287000,209415000,-1914693000,168075000,-2721689000,-4061628000,-2794162000,402937000,1360242000,-1145669000,1333986000,-2384386000,-707249000,1019995000,-2960967000,-3418808000,13126030000,6390042000,
China,CHN,"Net financial flows, RDB concessional (NFL, current US$)",DT.NFL.RDBC.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
China,CHN,"Net financial flows, RDB nonconcessional (NFL, current US$)",DT.NFL.RDBN.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2708000,52036000,52909000,167620000,166284000,352989000,464321000,511048000,653285000,495582000,621976000,466611000,445148000,643691000,2151000,-1347889000,237946000,688261000,800523000,983341000,1001668000,1069098000,1033256000,1222891000,937510000,615495000,822010000,
China,CHN,"Net official flows from UN agencies, UNAIDS (current US$)",DT.NFL.UNAI.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090000,460000,1930000,1550000,850000,1350000,2170000,1480000,1380000,1210000,
China,CHN,"Net official flows from UN agencies, UNICEF (current US$)",DT.NFL.UNCF.CD,,,,,,,,,,,,,,,,,,,,,180000,2480000,4070000,6130000,5160000,6660000,16730000,16960000,14490000,16700000,14640000,16080000,21850000,17650000,22490000,20030000,18340000,18750000,17500000,14790000,18100000,12530000,11360000,12020000,12340000,14390000,11140000,13330000,11960000,10540000,11000000,10190000,10160000,8920000,8710000,
China,CHN,"Net official flows from UN agencies, UNHCR (current US$)",DT.NFL.UNCR.CD,,,,,,,,,,,,,,,,,,,,6160000,11610000,9490000,10930000,6530000,4130000,3600000,4750000,4640000,4000000,4110000,4080000,7580000,4070000,3230000,2520000,2650000,3000000,3030000,2810000,2070000,1650000,2090000,2720000,2810000,,1480000,260000,2240000,2350000,1710000,1090000,2190000,,,,
China,CHN,"Net official flows from UN agencies, UNDP (current US$)",DT.NFL.UNDP.CD,,,,,,,,,,,,,,,,,,,,1160000,11600000,15540000,18300000,20660000,15370000,14420000,17330000,27720000,31240000,30560000,39830000,35760000,35480000,30760000,25170000,28860000,22430000,26760000,14380000,15540000,12730000,8880000,9650000,8600000,8960000,9350000,8460000,9820000,7740000,7680000,6260000,5820000,4660000,3660000,3490000,
China,CHN,"Net official flows from UN agencies, UNECE (current US$)",DT.NFL.UNEC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Net official flows from UN agencies, UNFPA (current US$)",DT.NFL.UNFP.CD,,,,,,,,,,,,,,,,,,,,,12680000,15520000,11030000,9150000,5650000,11670000,9150000,9560000,12010000,13060000,4580000,13560000,10410000,10320000,6720000,7750000,,50000,1330000,5460000,3500000,3630000,4570000,4870000,4640000,4510000,3650000,4140000,6500000,3570000,3440000,2380000,4530000,3990000,4000000,
China,CHN,"Net official flows from UN agencies, UNPBF (current US$)",DT.NFL.UNPB.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Net official flows from UN agencies, UNRWA (current US$)",DT.NFL.UNRW.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,CHN,"Net official flows from UN agencies, UNTA (current US$)",DT.NFL.UNTA.CD,,,,,,,,,,,,,,,,,,,,1740000,190000,1230000,800000,3000000,1620000,4540000,3180000,5420000,2580000,5510000,6590000,4730000,3990000,6750000,3190000,10830000,4110000,6330000,3890000,6320000,5460000,7040000,5700000,6800000,6100000,8910000,4380000,7790000,2170000,,,,,,,
China,CHN,"Net official flows from UN agencies, WFP (current US$)",DT.NFL.WFPG.CD,,,,,,,,,,,,,,,,,,,,3480000,7000000,6910000,15370000,24950000,79680000,67880000,84510000,86470000,101460000,23940000,8650000,21620000,28120000,23780000,24850000,21210000,16300000,18890000,10490000,6500000,7530000,10990000,12060000,10790000,6340000,8000000,,,,,,,,,,
China,CHN,"Net official flows from UN agencies, WHO (current US$)",DT.NFL.WHOL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5580000,830000,6060000,4300000,
China,CHN,"PPG, bilateral (NTR, current US$)",DT.NTR.BLAT.CD,,,,,,,,,,,,,,,,,,,,,,451194000,575125000,443765000,501655000,375637000,360448000,-268722000,-18022000,892843000,483566000,357160000,676991000,2184144000,266205000,4815550000,1391832000,875160000,-963149000,718919000,-1250238000,-1755000,-1229198000,-1745380000,-1164519000,-753094000,-410081000,-1169665000,-664414000,-697757000,-544716000,-1438744000,-2249382000,-3521480000,-761091000,
China,CHN,"PPG, bilateral concessional (NTR, current US$)",DT.NTR.BLTC.CD,,,,,,,,,,,,,,,,,,,,,,43397000,395103000,332647000,415615000,381632000,309442000,119869000,466662000,1366081000,683907000,-153345000,-200162000,415057000,564582000,894110000,707813000,-479478000,-903067000,219678000,-1110789000,81692000,-1068573000,-1437630000,-866323000,-562563000,-199825000,-658112000,-499058000,-546238000,-401591000,-1300126000,-2761434000,-2976453000,-266296000,
China,CHN,"Net transfers on external debt, total (NTR, current US$)",DT.NTR.DECT.CD,,,,,,,,,,,,,,,,,,,,,,953084000,2014148000,1368438000,1694417000,3617240000,4113410000,6337569000,5085713000,893069000,5018407000,1817043000,10872201000,10923859000,7202738000,11761336000,8439809000,11587998000,-21410886000,-8842312000,-9701544000,32772049000,-2651044000,10243172000,27358090000,33320250000,24239400000,35510730000,-11502197000,37242311000,89049178000,1.02357E+11,-4342330000,1.30079E+11,77425705000,
China,CHN,"Net transfers on external debt, long-term (NTR, current US$)",DT.NTR.DLXF.CD,,,,,,,,,,,,,,,,,,,,,,78171000,-4214000,463838000,466304000,3393513000,4210325000,4963314000,5169133000,3566527000,3812657000,1582900000,8583901000,10201859000,5963738000,8258413000,6169632000,6895983000,-5635665000,-5529406000,-6420303000,-8706478000,-9885870000,-9542769000,2651461000,4135218000,4684999000,11144028000,9496794000,-12845758000,9870544000,3783261000,-2455607000,18581591000,15171015000,
China,CHN,"Net transfers on external debt, private nonguaranteed (PNG) (NTR, current US$)",DT.NTR.DPNG.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,197575000,320281000,-26213000,510642000,75555000,1255700000,-3521132000,-3260000000,-3969000000,-3810000000,-1543000000,-294647000,5237867000,4158000000,7132000000,12487000000,13309599000,-10823758000,9795647000,9989434000,4185377000,10168261000,10536984000,
China,CHN,"Net transfers on external debt, public and publicly guaranteed (PPG) (NTR, current US$)",DT.NTR.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,78171000,-4214000,463838000,466304000,3393513000,4210325000,4963314000,5169133000,3566527000,3812657000,1582900000,8386326000,9881578000,5989951000,7747771000,6094077000,5640283000,-2114533000,-2269406000,-2451303000,-4896478000,-8342870000,-9248122000,-2586406000,-22782000,-2447001000,-1342972000,-3812805000,-2022000000,74897000,-6206173000,-6640984000,8413330000,4634031000,
China,CHN,"PPG, IBRD (NTR, current US$)",DT.NTR.MIBR.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1239000,67334000,328050000,257969000,94655000,388415000,381004000,175889000,310726000,92388000,433127000,701312000,647567000,446535000,703959000,532993000,151355000,236851000,-69836000,-1169586000,-1215692000,64439000,-77624000,-308327000,-367368000,80286000,-64138000,52188000,-78438000,-239479000,-187969000,27068000,
China,CHN,"PPG, IDA (NTR, current US$)",DT.NTR.MIDA.CD,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,883000,66888000,120094000,207944000,273865000,387096000,541873000,493171000,488394000,588457000,748090000,830798000,629567000,748784000,738195000,631506000,495082000,342402000,248274000,159716000,27804000,-78454000,-194364000,-225338000,-281969000,-335168000,-378910000,-398912000,-415441000,-1610882000,-770063000,-805522000,-845236000,
China,CHN,"PPG, multilateral (NTR, current US$)",DT.NTR.MLAT.CD,,,,,,,,,,,,,,,,,,,,,,0,883000,74476000,198549000,568864000,542517000,492816000,939823000,927110000,711901000,1051543000,988454000,1603705000,1720126000,1798774000,1698534000,1654469000,1438110000,735403000,384636000,-415519000,-1643990000,-3010313000,-639712000,134877000,-115120000,-76465000,341500000,322952000,306547000,-1084507000,-666123000,-968206000,-558421000,
China,CHN,"PPG, multilateral concessional (NTR, current US$)",DT.NTR.MLTC.CD,,,,,,,,,,,,,,,,,,,,,,0,883000,73237000,131215000,224130000,286782000,400823000,550851000,497947000,490568000,585536000,751865000,848819000,630030000,751194000,733810000,622427000,502867000,358587000,38747000,122475000,20651000,-80484000,-230784000,-225338000,-281969000,-335168000,-378910000,-398912000,-415441000,-1610882000,-770063000,-805522000,-845236000,
China,CHN,"PPG, official creditors (NTR, current US$)",DT.NTR.OFFT.CD,,,,,,,,,,,,,,,,,,,,,,451194000,576008000,518241000,700204000,944501000,902965000,224094000,921801000,1819953000,1195467000,1408703000,1665445000,3787849000,1986331000,6614324000,3090366000,2529629000,474961000,1454322000,-865602000,-417274000,-2873188000,-4755693000,-1804231000,-618217000,-525201000,-1246130000,-322914000,-374805000,-238169000,-2523251000,-2915505000,-4489686000,-1319512000,
China,CHN,"PPG, bonds (NTR, current US$)",DT.NTR.PBND.CD,,,,,,,,,,,,,,,,,,,,,,-20156000,18700000,-188000,80584000,950956000,1242442000,851475000,481878000,69785000,-414662000,-332383000,-537899000,1619614000,2513221000,-821030000,554791000,1450568000,928000000,-1737000000,-116000000,-130000000,-1477563000,629560000,1412210000,2288848000,-401122000,783969000,-1160520000,-980317000,-316992000,696063000,-377040000,5348568000,2681375000,
China,CHN,"PPG, commercial banks (NTR, current US$)",DT.NTR.PCBK.CD,,,,,,,,,,,,,,,,,,,,,,-345701000,-296030000,54852000,135332000,572867000,1385056000,4001782000,3258801000,87485000,1480404000,-457554000,2239639000,1991174000,-457435000,999135000,-567824000,-710671000,-2464676000,-1021934000,-2106501000,-1410428000,-844595000,-1015015000,-490084000,154396000,-212039000,-642586000,-270696000,-195925000,269365000,-8791000,-390706000,1687668000,3752295000,
China,CHN,"PNG, bonds (NTR, current US$)",DT.NTR.PNGB.CD,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,197575000,320281000,-26213000,510642000,75555000,1255700000,220408000,-95662000,-237053000,365088000,-108599000,-58424000,588867000,1004387000,1362454000,295355000,-781401000,16220000,10919305000,9107640000,9786738000,21783860000,20636193000,
